,x_min,y_min,z_min,x_max,y_max,z_max,x_std,y_std,z_std,x_mean,y_mean,z_mean,x_slope,y_slope,z_slope,x_zc,y_zc,z_zc,x_mmd,y_mmd,z_mmd,label,label_subcategory
3,-4,-3,-9,10,19,15,1,8,2,0,7,1,0,0,0,65,32,74,308,142,278,0,JUM
4,-5,-3,-8,11,19,10,2,8,1,0,7,1,0,0,0,63,28,80,21,722,461,0,JUM
0,-19,-3,-17,4,19,11,5,6,4,-3,7,-1,0,0,0,34,24,62,405,181,242,0,JUM
1,-19,-2,-16,5,19,9,6,6,4,-4,7,-1,0,0,0,30,10,81,43,49,28,0,JUM
2,-19,-2,-16,5,19,7,6,6,3,-4,7,-1,0,0,0,31,14,78,113,211,220,0,JUM
3,-19,-1,-15,4,19,9,6,6,3,-5,7,-1,0,0,0,31,18,71,120,110,163,0,JUM
4,-19,-3,-16,6,19,9,6,6,4,-4,7,-1,0,0,0,29,18,71,337,495,27,0,JUM
0,-15,-19,-8,11,2,13,3,7,2,0,-8,1,0,0,0,65,26,67,230,52,323,0,JUM
1,-14,-19,-10,7,4,14,3,8,2,-1,-8,1,0,0,0,67,34,81,881,389,426,0,JUM
2,-17,-19,-7,12,3,11,4,8,2,-1,-8,1,0,0,0,77,36,81,31,709,872,0,JUM
3,-17,-19,-12,9,4,13,4,7,2,-2,-7,1,0,0,0,57,33,85,103,55,242,0,JUM
4,-17,-19,-9,9,3,12,4,7,2,-2,-7,1,0,0,0,63,31,88,29,172,25,0,JUM
0,-10,-19,-5,9,2,15,2,8,4,1,-7,2,0,0,0,48,44,51,21,80,229,0,JUM
1,-11,-19,-7,9,3,16,2,8,4,0,-7,2,0,0,0,68,30,58,226,46,449,0,JUM
2,-14,-19,-7,9,2,15,2,8,4,0,-7,2,0,0,0,64,34,54,442,710,1081,0,JUM
3,-13,-19,-5,9,2,17,2,8,4,0,-7,3,0,0,0,71,40,47,1098,49,997,0,JUM
4,-11,-19,-3,7,2,15,2,8,4,0,-7,2,0,0,0,80,42,49,955,947,390,0,JUM
0,-5,-3,-11,12,19,4,3,7,2,2,8,-1,0,0,0,26,38,64,242,242,580,0,JUM
1,-5,-3,-13,11,19,4,3,8,2,1,7,-1,0,0,0,37,34,68,700,989,273,0,JUM
2,-9,-4,-14,8,19,3,2,8,2,0,7,-1,0,0,0,61,40,73,166,43,116,0,JUM
3,-14,-3,-14,7,19,5,2,8,2,0,7,-1,0,0,0,63,29,73,24,226,180,0,JUM
4,-12,-4,-13,7,19,5,2,8,2,0,7,-1,0,0,0,61,33,65,384,65,20,0,JUM
0,-11,-4,-4,2,19,10,2,7,3,0,6,1,0,0,0,52,29,45,501,627,171,0,JUM
1,-13,-5,-4,2,19,11,2,8,3,0,6,1,0,0,0,58,43,59,152,1067,134,0,JUM
2,-14,-4,-4,4,19,12,3,8,3,-1,6,1,0,0,0,66,44,53,411,384,37,0,JUM
3,-15,-4,-4,4,19,11,3,8,3,-1,6,1,0,0,0,54,46,53,570,481,235,0,JUM
4,-14,-4,-5,4,19,12,3,8,4,-1,6,2,0,0,0,49,43,48,363,280,745,0,JUM
0,-10,-7,-4,13,19,15,3,7,3,0,6,2,0,0,0,61,20,33,92,329,433,0,JUM
1,-8,-6,-2,11,19,14,2,8,2,1,6,2,0,0,0,65,27,36,365,449,947,0,JUM
2,-9,-4,-3,11,19,14,2,8,2,0,7,2,0,0,0,80,33,40,373,45,424,0,JUM
3,-8,-2,-3,11,19,15,2,7,2,0,7,2,0,0,0,80,31,42,89,239,197,0,JUM
4,-7,-4,-2,9,19,15,2,7,2,1,7,2,0,0,0,68,28,52,372,804,486,0,JUM
0,-10,-3,-9,9,19,10,2,7,2,0,7,0,0,0,0,65,28,86,286,40,90,0,JUM
1,-7,-2,-7,11,19,7,2,8,2,0,7,0,0,0,0,73,35,89,353,218,620,0,JUM
2,-8,-2,-5,10,19,12,3,8,2,0,7,0,0,0,0,68,38,89,193,38,18,0,JUM
3,-6,-3,-5,11,19,9,3,8,2,0,6,0,0,0,0,74,45,90,288,316,281,0,JUM
4,-7,-2,-7,10,19,10,3,8,2,0,7,0,0,0,0,70,38,92,173,911,962,0,JUM
0,-5,-1,-3,16,19,9,4,7,2,2,7,1,0,0,0,48,38,61,48,282,180,0,JUM
1,-4,-2,-4,16,19,10,4,8,2,3,6,1,0,0,0,54,44,68,605,634,683,0,JUM
2,-4,-2,-3,15,19,10,4,8,2,2,6,1,0,0,0,54,44,66,281,59,685,0,JUM
3,-3,-2,-3,15,19,10,4,8,3,2,6,1,0,0,0,52,46,60,609,52,470,0,JUM
4,-3,-2,-4,16,19,10,4,8,3,2,6,1,0,0,0,43,45,61,175,522,632,0,JUM
0,-3,-2,-3,14,19,10,3,7,2,2,7,1,0,0,0,44,33,57,513,161,643,0,JUM
1,-4,-2,-3,14,19,13,3,8,3,2,7,1,0,0,0,52,41,67,394,659,274,0,JUM
2,-3,-2,-4,15,19,11,4,7,3,2,6,1,0,0,0,60,42,64,178,722,72,0,JUM
3,-4,-4,-4,16,19,11,3,8,3,2,6,1,0,0,0,58,50,64,376,588,365,0,JUM
4,-5,-3,-3,15,19,11,4,8,3,2,7,1,0,0,0,57,45,59,50,166,175,0,JUM
0,-8,-5,-12,16,19,15,3,7,4,0,7,1,0,0,0,57,40,65,661,809,135,0,JUM
1,-13,-7,-18,16,19,18,4,8,5,0,7,1,0,0,0,78,42,86,324,1120,137,0,JUM
2,-17,-6,-17,8,19,16,4,8,5,-2,6,1,0,0,0,60,49,84,654,421,163,0,JUM
3,-17,-6,-15,9,19,17,5,8,5,-3,7,2,0,0,0,47,42,82,206,1005,162,0,JUM
4,-17,-4,-12,6,19,14,4,7,4,-2,7,1,0,0,0,51,35,80,51,96,30,0,JUM
0,-17,-1,-6,7,19,11,3,7,2,-1,7,0,0,0,0,34,32,71,754,57,596,0,JUM
1,-18,-3,-3,5,19,11,5,7,2,-3,6,1,0,0,0,27,26,61,644,145,393,0,JUM
2,-17,-3,-4,5,19,12,5,7,2,-3,6,1,0,0,0,28,29,66,992,292,297,0,JUM
3,-17,-2,-3,3,19,11,5,7,2,-3,6,1,0,0,0,27,31,61,217,491,564,0,JUM
4,-17,-1,-3,3,19,11,4,7,2,-2,6,1,0,0,0,28,30,56,574,122,830,0,JUM
0,-7,-19,-7,11,1,9,2,7,2,2,-7,1,0,0,0,44,44,81,64,814,117,0,JUM
1,-3,-19,-6,12,2,9,3,8,2,2,-7,1,0,0,0,60,45,85,757,32,564,0,JUM
2,-3,-19,-4,12,2,9,2,8,2,2,-7,1,0,0,0,50,49,82,596,280,291,0,JUM
3,-6,-19,-3,15,2,11,3,8,2,2,-7,1,0,0,0,81,53,83,24,1164,106,0,JUM
4,-6,-19,-5,16,2,10,3,8,2,2,-6,1,0,0,0,55,56,90,23,554,456,0,JUM
0,-4,-19,-6,6,2,13,1,7,2,0,-8,1,0,0,0,76,34,77,217,324,112,0,JUM
1,-6,-19,-3,8,2,10,2,8,2,1,-7,1,0,0,0,84,48,76,379,317,86,0,JUM
2,-6,-19,-5,10,2,12,2,8,2,0,-7,1,0,0,0,83,48,86,513,277,18,0,JUM
3,-8,-19,-7,11,2,11,2,8,2,0,-7,1,0,0,0,91,50,81,900,380,609,0,JUM
4,-8,-19,-6,9,2,12,2,8,2,0,-7,1,0,0,0,87,42,79,205,31,115,0,JUM
0,-2,-2,-11,15,19,2,3,7,2,2,7,-1,0,0,0,24,34,50,147,908,78,0,JUM
1,-2,-2,-11,15,19,1,3,8,3,2,7,-2,0,0,0,42,40,64,421,70,627,0,JUM
2,-2,-3,-9,13,19,1,3,8,2,2,7,-2,0,0,0,31,36,62,617,599,248,0,JUM
3,-2,-2,-10,14,19,2,3,8,3,2,7,-2,0,0,0,47,38,62,140,607,455,0,JUM
4,-3,-2,-13,15,19,2,3,7,3,2,7,-2,0,0,0,46,36,62,238,129,159,0,JUM
0,-4,-3,-5,7,19,14,1,7,4,0,7,2,0,0,0,53,36,35,273,714,170,0,JUM
1,-6,-2,-10,10,19,14,2,8,4,1,7,3,0,0,0,80,44,49,75,41,77,0,JUM
2,-4,-2,-5,8,19,14,2,8,4,1,7,3,0,0,0,70,40,53,196,200,898,0,JUM
3,-4,-3,-6,14,19,16,3,8,5,2,7,3,0,0,0,53,38,58,192,978,177,0,JUM
4,-5,-2,-7,9,19,16,2,7,4,1,7,3,0,0,0,62,37,53,296,139,62,0,JUM
0,-11,-2,-5,4,19,15,2,7,2,0,8,1,0,0,0,57,22,58,109,854,735,0,JUM
1,-10,-1,-3,5,19,11,2,8,2,0,8,1,0,0,0,65,24,62,860,48,138,0,JUM
2,-13,-1,-5,5,19,9,2,8,2,0,8,1,0,0,0,73,24,63,23,133,904,0,JUM
3,-9,-2,-3,5,19,15,2,8,2,0,7,1,0,0,0,59,32,51,1015,51,831,0,JUM
4,-13,-2,-4,6,19,12,2,8,2,0,7,1,0,0,0,61,24,59,262,1132,490,0,JUM
0,-5,-1,-6,9,19,6,1,7,1,0,9,0,0,0,0,67,32,86,154,223,445,0,JUM
1,-5,-2,-5,7,19,8,2,7,2,0,8,0,0,0,0,75,38,88,627,226,19,0,JUM
2,-5,-1,-4,13,19,9,2,8,1,1,8,0,0,0,0,68,40,98,21,1040,457,0,JUM
3,-5,-2,-5,13,19,8,2,7,2,1,8,0,0,0,0,78,36,96,440,854,420,0,JUM
4,-5,-3,-7,13,19,8,2,8,2,1,8,0,0,0,0,68,38,82,219,51,164,0,JUM
0,-3,-3,-4,14,19,10,3,7,2,2,7,1,0,0,0,48,40,70,27,386,36,0,JUM
1,-2,-2,-3,13,19,8,3,8,2,2,6,0,0,0,0,63,49,78,175,31,190,0,JUM
2,-2,-3,-2,14,19,8,3,8,2,2,6,1,0,0,0,51,47,69,192,159,284,0,JUM
3,-2,-2,-3,14,19,9,3,8,2,2,6,1,0,0,0,55,46,75,84,187,141,0,JUM
4,-3,-2,-3,14,19,8,3,8,2,2,6,1,0,0,0,52,44,64,371,165,73,0,JUM
0,-1,-2,-5,8,19,6,2,7,2,1,8,0,0,0,0,38,30,61,291,285,521,0,JUM
1,-1,-2,-4,9,19,4,2,8,1,2,9,0,0,0,0,32,26,69,181,162,1126,0,JUM
2,0,-2,-5,8,19,4,1,8,1,2,9,0,0,0,0,16,25,55,27,920,1037,0,JUM
3,-2,-8,-7,8,19,4,2,8,2,2,8,0,0,0,0,18,20,52,294,173,67,0,JUM
4,-1,-6,-6,8,19,4,2,8,2,2,8,0,0,0,0,24,21,58,218,423,319,0,JUM
0,-10,-2,-9,6,19,4,2,7,2,-1,8,-1,0,0,0,52,26,65,490,348,70,0,JUM
1,-12,-2,-9,4,19,6,2,8,2,-1,8,-1,0,0,0,62,36,75,483,128,934,0,JUM
2,-15,-3,-12,6,19,10,2,8,2,-2,8,-1,0,0,0,49,33,80,304,37,23,0,JUM
3,-15,-4,-10,5,19,9,3,8,2,-2,8,-1,0,0,0,51,37,74,176,231,546,0,JUM
4,-13,-3,-8,5,19,7,2,8,1,-2,8,-1,0,0,0,44,24,74,111,41,747,0,JUM
0,-19,-3,-16,4,19,10,5,6,3,-3,8,-1,0,0,0,26,12,58,267,193,28,0,JUM
1,-17,-1,-13,3,19,6,5,6,3,-4,8,-1,0,0,0,33,4,78,438,38,700,0,JUM
2,-18,-3,-13,4,19,9,6,6,4,-4,7,-1,0,0,0,31,16,78,255,960,90,0,JUM
3,-19,-2,-17,6,19,9,7,7,4,-3,6,-1,0,0,0,33,26,74,880,184,370,0,JUM
4,-19,-2,-17,5,19,10,7,6,4,-4,7,-1,0,0,0,32,28,68,185,798,836,0,JUM
0,-7,-2,-4,5,19,7,1,6,1,0,9,1,0,0,0,53,21,52,297,43,207,0,JUM
1,-12,-2,-10,14,19,13,3,7,3,0,8,1,0,0,0,70,25,60,28,148,198,0,JUM
2,-12,-5,-7,10,19,15,3,7,3,0,8,2,0,0,0,65,27,56,26,88,69,0,JUM
3,-12,-2,-3,7,19,12,2,7,2,0,9,2,0,0,0,71,23,50,25,431,84,0,JUM
4,-12,-2,-4,5,19,10,2,7,2,0,8,1,0,0,0,75,26,60,253,47,907,0,JUM
0,-5,-3,-3,9,19,8,2,7,1,0,7,1,0,0,0,63,29,50,454,40,174,0,JUM
1,-6,-3,-4,12,19,12,2,7,2,0,7,1,0,0,0,83,31,76,907,320,20,0,JUM
2,-7,-3,-6,10,19,9,2,7,1,0,7,1,0,0,0,79,34,87,446,383,16,0,JUM
3,-5,-3,-5,10,19,8,2,7,1,0,7,0,0,0,0,74,33,69,427,297,14,0,JUM
4,-6,-1,-4,10,19,8,2,7,1,0,6,0,0,0,0,76,37,91,18,803,445,0,JUM
0,-16,-3,-17,9,19,14,3,7,5,-1,9,0,0,0,0,58,29,58,257,554,631,0,JUM
1,-17,-5,-16,8,19,14,3,8,4,0,8,0,0,0,0,44,31,71,494,409,616,0,JUM
2,-17,-4,-17,8,19,14,4,8,5,0,8,0,0,0,0,57,30,70,149,595,899,0,JUM
3,-18,-4,-16,9,19,17,4,8,5,-1,8,0,0,0,0,53,32,72,780,588,138,0,JUM
4,-18,-4,-15,7,19,14,4,8,4,-1,8,0,0,0,0,44,26,67,262,170,31,0,JUM
0,-16,-2,-16,7,19,13,4,7,4,-2,7,0,0,0,0,56,36,59,411,181,328,0,JUM
1,-16,-2,-13,12,19,14,4,8,5,-1,6,0,0,0,0,68,45,72,809,142,700,0,JUM
2,-14,-2,-14,13,19,17,4,8,5,0,7,0,0,0,0,70,43,72,696,1057,724,0,JUM
3,-14,-2,-13,13,19,15,3,8,4,0,7,0,0,0,0,74,52,74,211,120,504,0,JUM
4,-15,-2,-16,14,19,16,4,8,4,0,7,1,0,0,0,75,40,82,913,479,121,0,JUM
0,-17,-1,-12,6,19,16,3,7,3,-2,7,0,0,0,0,37,30,71,339,499,398,0,JUM
1,-16,-2,-11,6,19,15,3,7,4,-1,7,1,0,0,0,62,40,78,180,1091,275,0,JUM
2,-11,-2,-9,8,19,16,3,8,4,-1,7,0,0,0,0,72,42,67,851,994,368,0,JUM
3,-11,-2,-8,8,19,16,3,8,4,0,7,1,0,0,0,76,44,64,734,892,1160,0,JUM
4,-11,-2,-14,10,19,16,4,7,4,0,7,1,0,0,0,69,40,73,404,267,194,0,JUM
0,-7,-3,-8,12,19,7,2,7,1,0,7,0,0,0,0,56,30,70,563,157,370,0,JUM
1,-8,-2,-7,13,19,9,2,7,2,0,7,0,0,0,0,68,30,82,432,394,18,0,JUM
2,-8,-2,-4,11,19,8,2,7,1,0,7,0,0,0,0,71,34,85,558,581,549,0,JUM
3,-6,-2,-4,13,19,8,2,7,1,0,6,0,0,0,0,80,32,86,24,415,886,0,JUM
4,-6,-2,-4,12,19,8,2,7,1,0,7,0,0,0,0,76,30,90,253,585,167,0,JUM
0,-8,-19,-6,9,4,11,3,7,2,0,-7,0,0,0,0,62,42,106,226,35,192,0,JUM
1,-7,-19,-8,11,4,11,3,8,2,0,-7,0,0,0,0,68,34,129,537,180,619,0,JUM
2,-8,-19,-9,13,2,12,3,7,2,0,-6,0,0,0,0,69,44,127,26,586,279,0,JUM
3,-6,-19,-6,9,4,13,3,8,2,0,-6,0,0,0,0,74,45,129,554,234,137,0,JUM
4,-6,-19,-6,9,4,11,3,8,2,0,-6,0,0,0,0,65,43,121,24,250,352,0,JUM
0,-5,-2,-9,12,19,4,2,6,1,0,9,0,0,0,0,76,22,80,815,308,779,0,JUM
1,-6,-5,-10,11,19,7,2,7,2,0,9,-1,0,0,0,86,26,76,278,514,46,0,JUM
2,-6,-1,-12,9,19,5,2,7,2,0,9,-1,0,0,0,100,16,101,821,43,163,0,JUM
3,-7,-5,-10,14,19,6,2,6,2,0,9,0,0,0,0,98,18,104,102,299,873,0,JUM
4,-7,-1,-7,11,19,4,2,6,2,0,9,0,0,0,0,81,8,70,610,449,450,0,JUM
0,-8,-3,-10,6,19,10,2,7,2,0,7,0,0,0,0,58,21,81,610,47,690,0,JUM
1,-6,-4,-13,8,19,12,2,8,3,0,6,0,0,0,0,66,24,78,716,265,215,0,JUM
2,-8,-3,-12,7,19,12,2,8,3,0,6,0,0,0,0,56,23,88,392,662,507,0,JUM
3,-9,-3,-11,6,19,9,2,7,2,0,5,0,0,0,0,56,27,92,487,49,310,0,JUM
4,-11,-4,-14,8,19,11,2,7,3,0,5,0,0,0,0,47,23,88,510,44,97,0,JUM
0,-18,-2,-9,3,19,10,5,7,2,-4,7,0,0,0,0,29,25,81,282,431,71,0,JUM
1,-18,-3,-8,5,19,8,5,7,2,-4,7,0,0,0,0,31,29,82,487,513,88,0,JUM
2,-17,-2,-8,4,19,11,4,7,2,-3,7,0,0,0,0,32,32,97,745,254,387,0,JUM
3,-17,-3,-9,4,19,9,4,7,2,-3,7,0,0,0,0,32,32,95,443,269,88,0,JUM
4,-15,-3,-6,4,19,13,4,7,2,-2,7,0,0,0,0,35,38,90,422,430,72,0,JUM
0,-7,-1,-10,5,19,5,2,7,1,0,8,-1,0,0,0,57,32,62,16,95,71,0,JUM
1,-7,-2,-11,6,19,4,2,7,1,0,7,-1,0,0,0,70,40,66,21,460,360,0,JUM
2,-8,-1,-8,7,19,4,2,7,1,0,7,-1,0,0,0,77,46,72,424,751,14,0,JUM
3,-7,-2,-8,5,19,3,2,7,1,0,7,-1,0,0,0,75,42,70,572,237,352,0,JUM
4,-10,-1,-8,6,19,4,2,7,1,0,7,-1,0,0,0,72,27,69,20,165,203,0,JUM
0,-6,-3,-1,2,19,9,1,7,2,0,8,1,0,0,0,51,22,40,19,35,627,0,JUM
1,-7,-2,-3,2,19,9,1,8,3,0,7,2,0,0,0,62,30,55,450,38,484,0,JUM
2,-8,-2,-2,3,19,10,2,8,3,0,7,2,0,0,0,65,32,52,296,497,502,0,JUM
3,-6,-2,-2,2,19,11,1,8,3,0,7,2,0,0,0,62,38,55,401,916,912,0,JUM
4,-9,-2,-2,3,19,11,2,8,3,-1,7,2,0,0,0,60,39,52,679,406,148,0,JUM
0,-19,-2,-4,3,19,18,7,6,5,-5,6,2,0,0,0,45,36,53,30,35,395,0,JUM
1,-19,-4,-5,4,19,16,7,7,5,-4,5,2,0,0,0,63,46,54,235,35,485,0,JUM
2,-19,-3,-5,4,19,17,7,7,5,-4,5,3,0,0,0,52,48,59,179,66,372,0,JUM
3,-19,-2,-6,5,19,16,7,7,5,-4,5,2,0,0,0,64,48,51,80,336,600,0,JUM
4,-19,-3,-6,5,19,16,7,7,5,-4,5,2,0,0,0,53,47,49,338,233,237,0,JUM
0,-8,-2,-4,9,19,11,2,7,2,0,8,1,0,0,0,72,22,65,610,137,138,0,JUM
1,-9,-3,-4,13,19,12,3,7,2,0,8,1,0,0,0,74,34,68,360,1071,362,0,JUM
2,-7,-3,-4,15,19,10,2,7,2,0,8,1,0,0,0,77,30,64,26,141,137,0,JUM
3,-7,-2,-3,13,19,10,2,7,2,0,8,1,0,0,0,65,30,62,243,824,266,0,JUM
4,-6,-3,-4,16,19,10,3,7,2,1,8,1,0,0,0,60,30,62,362,43,627,0,JUM
0,-1,-1,-3,10,19,7,2,7,2,2,7,0,0,0,0,44,24,61,212,163,176,0,JUM
1,-1,-2,-2,12,19,6,2,8,2,2,7,0,0,0,0,55,28,53,159,685,720,0,JUM
2,-2,-2,-2,14,19,6,3,8,2,2,7,0,0,0,0,62,26,54,254,308,536,0,JUM
3,-2,-2,-2,16,19,7,3,8,2,2,7,0,0,0,0,55,28,64,163,441,344,0,JUM
4,-2,-2,-2,14,19,8,3,8,2,2,7,0,0,0,0,57,30,48,702,863,400,0,JUM
0,-2,-2,-5,9,19,4,2,7,1,2,8,0,0,0,0,30,26,71,144,42,563,0,JUM
1,-2,-1,-5,9,19,5,2,7,1,2,8,0,0,0,0,30,26,76,141,48,391,0,JUM
